technology,source,status,characters,path,error
Nomic Embed,github_repository,success,356017.0,/content/drive/MyDrive/forge/knowledge_base/raw/nomic_embed/github_repository.txt,
Nomic Embed,release_notes,success,202857.0,/content/drive/MyDrive/forge/knowledge_base/raw/nomic_embed/release_notes.txt,
Nomic Embed,research_papers,success,40904.0,/content/drive/MyDrive/forge/knowledge_base/raw/nomic_embed/research_papers.txt,
Sentence Transformers,official_documentation,success,142026.0,/content/drive/MyDrive/forge/knowledge_base/raw/sentence_transformers/official_documentation.txt,
Sentence Transformers,github_repository,success,385502.0,/content/drive/MyDrive/forge/knowledge_base/raw/sentence_transformers/github_repository.txt,
Sentence Transformers,api_reference,success,405310.0,/content/drive/MyDrive/forge/knowledge_base/raw/sentence_transformers/api_reference.txt,
Sentence Transformers,release_notes,success,567670.0,/content/drive/MyDrive/forge/knowledge_base/raw/sentence_transformers/release_notes.txt,
Sentence Transformers,research_papers,success,42256.0,/content/drive/MyDrive/forge/knowledge_base/raw/sentence_transformers/research_papers.txt,
Sentence Transformers,benchmark_pages,success,143450.0,/content/drive/MyDrive/forge/knowledge_base/raw/sentence_transformers/benchmark_pages.txt,
Arize Phoenix,official_documentation,success,626650.0,/content/drive/MyDrive/forge/knowledge_base/raw/arize_phoenix/official_documentation.txt,
Arize Phoenix,github_repository,success,691123.0,/content/drive/MyDrive/forge/knowledge_base/raw/arize_phoenix/github_repository.txt,
DeepEval,official_documentation,success,484115.0,/content/drive/MyDrive/forge/knowledge_base/raw/deepeval/official_documentation.txt,
DeepEval,github_repository,success,498342.0,/content/drive/MyDrive/forge/knowledge_base/raw/deepeval/github_repository.txt,
LangSmith,official_documentation,success,286855.0,/content/drive/MyDrive/forge/knowledge_base/raw/langsmith/official_documentation.txt,
LangSmith,github_repository,success,327109.0,/content/drive/MyDrive/forge/knowledge_base/raw/langsmith/github_repository.txt,
MLflow Evaluation,official_documentation,success,361.0,/content/drive/MyDrive/forge/knowledge_base/raw/mlflow_evaluation/official_documentation.txt,
MLflow Evaluation,github_repository,success,514381.0,/content/drive/MyDrive/forge/knowledge_base/raw/mlflow_evaluation/github_repository.txt,
OpenAI Evals,official_documentation,success,298214.0,/content/drive/MyDrive/forge/knowledge_base/raw/openai_evals/official_documentation.txt,
OpenAI Evals,github_repository,success,325509.0,/content/drive/MyDrive/forge/knowledge_base/raw/openai_evals/github_repository.txt,
Promptfoo,official_documentation,success,45534.0,/content/drive/MyDrive/forge/knowledge_base/raw/promptfoo/official_documentation.txt,
Promptfoo,github_repository,success,431130.0,/content/drive/MyDrive/forge/knowledge_base/raw/promptfoo/github_repository.txt,
Ragas,official_documentation,success,113053.0,/content/drive/MyDrive/forge/knowledge_base/raw/ragas/official_documentation.txt,
Ragas,github_repository,success,367179.0,/content/drive/MyDrive/forge/knowledge_base/raw/ragas/github_repository.txt,
Ragas,research_papers,success,42088.0,/content/drive/MyDrive/forge/knowledge_base/raw/ragas/research_papers.txt,
TruLens,official_documentation,success,340820.0,/content/drive/MyDrive/forge/knowledge_base/raw/trulens/official_documentation.txt,
TruLens,github_repository,success,416176.0,/content/drive/MyDrive/forge/knowledge_base/raw/trulens/github_repository.txt,
Axolotl,official_documentation,success,389964.0,/content/drive/MyDrive/forge/knowledge_base/raw/axolotl/official_documentation.txt,
Axolotl,github_repository,success,452366.0,/content/drive/MyDrive/forge/knowledge_base/raw/axolotl/github_repository.txt,
LitGPT,official_documentation,success,492813.0,/content/drive/MyDrive/forge/knowledge_base/raw/litgpt/official_documentation.txt,
LitGPT,github_repository,success,468541.0,/content/drive/MyDrive/forge/knowledge_base/raw/litgpt/github_repository.txt,
LLaMA-Factory,official_documentation,success,739309.0,/content/drive/MyDrive/forge/knowledge_base/raw/llama_factory/official_documentation.txt,
LLaMA-Factory,github_repository,success,664817.0,/content/drive/MyDrive/forge/knowledge_base/raw/llama_factory/github_repository.txt,
LoRA,github_repository,success,352282.0,/content/drive/MyDrive/forge/knowledge_base/raw/lora/github_repository.txt,
LoRA,research_papers,success,44797.0,/content/drive/MyDrive/forge/knowledge_base/raw/lora/research_papers.txt,
PEFT,official_documentation,success,120545.0,/content/drive/MyDrive/forge/knowledge_base/raw/peft/official_documentation.txt,
PEFT,github_repository,success,394775.0,/content/drive/MyDrive/forge/knowledge_base/raw/peft/github_repository.txt,
QLoRA,github_repository,success,339397.0,/content/drive/MyDrive/forge/knowledge_base/raw/qlora/github_repository.txt,
QLoRA,research_papers,success,44489.0,/content/drive/MyDrive/forge/knowledge_base/raw/qlora/research_papers.txt,
TRL,official_documentation,success,128764.0,/content/drive/MyDrive/forge/knowledge_base/raw/trl/official_documentation.txt,
TRL,github_repository,success,411533.0,/content/drive/MyDrive/forge/knowledge_base/raw/trl/github_repository.txt,
Unsloth,official_documentation,success,499714.0,/content/drive/MyDrive/forge/knowledge_base/raw/unsloth/official_documentation.txt,
Unsloth,github_repository,success,504311.0,/content/drive/MyDrive/forge/knowledge_base/raw/unsloth/github_repository.txt,
Haystack,official_documentation,success,81237.0,/content/drive/MyDrive/forge/knowledge_base/raw/haystack/official_documentation.txt,
Haystack,github_repository,success,402279.0,/content/drive/MyDrive/forge/knowledge_base/raw/haystack/github_repository.txt,
Haystack,api_reference,success,19663.0,/content/drive/MyDrive/forge/knowledge_base/raw/haystack/api_reference.txt,
Haystack,technical_blog,success,145770.0,/content/drive/MyDrive/forge/knowledge_base/raw/haystack/technical_blog.txt,
Haystack,release_notes,success,512748.0,/content/drive/MyDrive/forge/knowledge_base/raw/haystack/release_notes.txt,
LangChain,official_documentation,success,962046.0,/content/drive/MyDrive/forge/knowledge_base/raw/langchain/official_documentation.txt,
LangChain,github_repository,success,331486.0,/content/drive/MyDrive/forge/knowledge_base/raw/langchain/github_repository.txt,
LangChain,api_reference,success,61532.0,/content/drive/MyDrive/forge/knowledge_base/raw/langchain/api_reference.txt,
LangChain,technical_blog,success,203589.0,/content/drive/MyDrive/forge/knowledge_base/raw/langchain/technical_blog.txt,
LangChain,release_notes,success,498729.0,/content/drive/MyDrive/forge/knowledge_base/raw/langchain/release_notes.txt,
LangGraph,official_documentation,success,805806.0,/content/drive/MyDrive/forge/knowledge_base/raw/langgraph/official_documentation.txt,
LangGraph,github_repository,success,319683.0,/content/drive/MyDrive/forge/knowledge_base/raw/langgraph/github_repository.txt,
LangGraph,api_reference,success,158878.0,/content/drive/MyDrive/forge/knowledge_base/raw/langgraph/api_reference.txt,
LangGraph,technical_blog,success,203589.0,/content/drive/MyDrive/forge/knowledge_base/raw/langgraph/technical_blog.txt,
LangGraph,release_notes,success,476138.0,/content/drive/MyDrive/forge/knowledge_base/raw/langgraph/release_notes.txt,
LlamaIndex,official_documentation,success,263716.0,/content/drive/MyDrive/forge/knowledge_base/raw/llamaindex/official_documentation.txt,
LlamaIndex,github_repository,success,411350.0,/content/drive/MyDrive/forge/knowledge_base/raw/llamaindex/github_repository.txt,
LlamaIndex,api_reference,success,41814.0,/content/drive/MyDrive/forge/knowledge_base/raw/llamaindex/api_reference.txt,
LlamaIndex,technical_blog,success,997869.0,/content/drive/MyDrive/forge/knowledge_base/raw/llamaindex/technical_blog.txt,
LlamaIndex,release_notes,success,619536.0,/content/drive/MyDrive/forge/knowledge_base/raw/llamaindex/release_notes.txt,
Anthropic Claude,official_documentation,success,735034.0,/content/drive/MyDrive/forge/knowledge_base/raw/anthropic_claude/official_documentation.txt,
Anthropic Claude,github_repository,success,334386.0,/content/drive/MyDrive/forge/knowledge_base/raw/anthropic_claude/github_repository.txt,
Anthropic Claude,api_reference,success,910007.0,/content/drive/MyDrive/forge/knowledge_base/raw/anthropic_claude/api_reference.txt,
Anthropic Claude,technical_blog,success,416494.0,/content/drive/MyDrive/forge/knowledge_base/raw/anthropic_claude/technical_blog.txt,
Anthropic Claude,release_notes,success,1436122.0,/content/drive/MyDrive/forge/knowledge_base/raw/anthropic_claude/release_notes.txt,
DeepSeek,official_documentation,success,92591.0,/content/drive/MyDrive/forge/knowledge_base/raw/deepseek/official_documentation.txt,
DeepSeek,github_repository,success,418976.0,/content/drive/MyDrive/forge/knowledge_base/raw/deepseek/github_repository.txt,
DeepSeek,api_reference,success,44570.0,/content/drive/MyDrive/forge/knowledge_base/raw/deepseek/api_reference.txt,
DeepSeek,release_notes,success,238352.0,/content/drive/MyDrive/forge/knowledge_base/raw/deepseek/release_notes.txt,
DeepSeek,research_papers,success,73905.0,/content/drive/MyDrive/forge/knowledge_base/raw/deepseek/research_papers.txt,
Google Gemini,official_documentation,success,121218.0,/content/drive/MyDrive/forge/knowledge_base/raw/google_gemini/official_documentation.txt,
Google Gemini,github_repository,success,301127.0,/content/drive/MyDrive/forge/knowledge_base/raw/google_gemini/github_repository.txt,
Google Gemini,api_reference,success,77438.0,/content/drive/MyDrive/forge/knowledge_base/raw/google_gemini/api_reference.txt,
Google Gemini,technical_blog,success,389340.0,/content/drive/MyDrive/forge/knowledge_base/raw/google_gemini/technical_blog.txt,
Google Gemini,release_notes,success,155197.0,/content/drive/MyDrive/forge/knowledge_base/raw/google_gemini/release_notes.txt,
Google Gemini,research_papers,success,267021.0,/content/drive/MyDrive/forge/knowledge_base/raw/google_gemini/research_papers.txt,
Meta Llama,official_documentation,success,301665.0,/content/drive/MyDrive/forge/knowledge_base/raw/meta_llama/official_documentation.txt,
Meta Llama,github_repository,success,366199.0,/content/drive/MyDrive/forge/knowledge_base/raw/meta_llama/github_repository.txt,
Meta Llama,technical_blog,success,198512.0,/content/drive/MyDrive/forge/knowledge_base/raw/meta_llama/technical_blog.txt,
Meta Llama,research_papers,success,135086.0,/content/drive/MyDrive/forge/knowledge_base/raw/meta_llama/research_papers.txt,
Meta Llama,benchmark_pages,success,415129.0,/content/drive/MyDrive/forge/knowledge_base/raw/meta_llama/benchmark_pages.txt,
Mistral,official_documentation,success,1090783.0,/content/drive/MyDrive/forge/knowledge_base/raw/mistral/official_documentation.txt,
Mistral,github_repository,success,415368.0,/content/drive/MyDrive/forge/knowledge_base/raw/mistral/github_repository.txt,
Mistral,api_reference,success,2112688.0,/content/drive/MyDrive/forge/knowledge_base/raw/mistral/api_reference.txt,
Mistral,technical_blog,success,777551.0,/content/drive/MyDrive/forge/knowledge_base/raw/mistral/technical_blog.txt,
Mistral,research_papers,success,42914.0,/content/drive/MyDrive/forge/knowledge_base/raw/mistral/research_papers.txt,
OpenAI GPT,official_documentation,success,356378.0,/content/drive/MyDrive/forge/knowledge_base/raw/openai_gpt/official_documentation.txt,
OpenAI GPT,github_repository,success,654639.0,/content/drive/MyDrive/forge/knowledge_base/raw/openai_gpt/github_repository.txt,
OpenAI GPT,api_reference,success,305268.0,/content/drive/MyDrive/forge/knowledge_base/raw/openai_gpt/api_reference.txt,
OpenAI GPT,release_notes,success,457606.0,/content/drive/MyDrive/forge/knowledge_base/raw/openai_gpt/release_notes.txt,
OpenAI GPT,research_papers,success,88953.0,/content/drive/MyDrive/forge/knowledge_base/raw/openai_gpt/research_papers.txt,
OpenAI GPT,benchmark_pages,success,962439.0,/content/drive/MyDrive/forge/knowledge_base/raw/openai_gpt/benchmark_pages.txt,
Qwen,official_documentation,success,22889.0,/content/drive/MyDrive/forge/knowledge_base/raw/qwen/official_documentation.txt,
Qwen,github_repository,success,429660.0,/content/drive/MyDrive/forge/knowledge_base/raw/qwen/github_repository.txt,
Qwen,release_notes,success,205528.0,/content/drive/MyDrive/forge/knowledge_base/raw/qwen/release_notes.txt,
Qwen,research_papers,success,51896.0,/content/drive/MyDrive/forge/knowledge_base/raw/qwen/research_papers.txt,
Chain-of-Thought (CoT),research_papers,success,43492.0,/content/drive/MyDrive/forge/knowledge_base/raw/chain_of_thought_cot/research_papers.txt,
DSPy,official_documentation,success,278615.0,/content/drive/MyDrive/forge/knowledge_base/raw/dspy/official_documentation.txt,
DSPy,github_repository,success,303641.0,/content/drive/MyDrive/forge/knowledge_base/raw/dspy/github_repository.txt,
Few-Shot Prompting,research_papers,success,49361.0,/content/drive/MyDrive/forge/knowledge_base/raw/few_shot_prompting/research_papers.txt,
Graph of Thoughts (GoT),github_repository,success,317821.0,/content/drive/MyDrive/forge/knowledge_base/raw/graph_of_thoughts_got/github_repository.txt,
Graph of Thoughts (GoT),research_papers,success,44848.0,/content/drive/MyDrive/forge/knowledge_base/raw/graph_of_thoughts_got/research_papers.txt,
Guidance,official_documentation,success,403840.0,/content/drive/MyDrive/forge/knowledge_base/raw/guidance/official_documentation.txt,
Guidance,github_repository,success,414980.0,/content/drive/MyDrive/forge/knowledge_base/raw/guidance/github_repository.txt,
LMQL,official_documentation,success,333558.0,/content/drive/MyDrive/forge/knowledge_base/raw/lmql/official_documentation.txt,
LMQL,github_repository,success,358867.0,/content/drive/MyDrive/forge/knowledge_base/raw/lmql/github_repository.txt,
One-Shot Prompting,research_papers,success,49361.0,/content/drive/MyDrive/forge/knowledge_base/raw/one_shot_prompting/research_papers.txt,
ReAct,github_repository,success,284009.0,/content/drive/MyDrive/forge/knowledge_base/raw/react/github_repository.txt,
ReAct,research_papers,success,44547.0,/content/drive/MyDrive/forge/knowledge_base/raw/react/research_papers.txt,
Self-Consistency,research_papers,success,42598.0,/content/drive/MyDrive/forge/knowledge_base/raw/self_consistency/research_papers.txt,
Step-Back Prompting,research_papers,success,41831.0,/content/drive/MyDrive/forge/knowledge_base/raw/step_back_prompting/research_papers.txt,
Tree of Thoughts (ToT),github_repository,success,317214.0,/content/drive/MyDrive/forge/knowledge_base/raw/tree_of_thoughts_tot/github_repository.txt,
Tree of Thoughts (ToT),research_papers,success,43983.0,/content/drive/MyDrive/forge/knowledge_base/raw/tree_of_thoughts_tot/research_papers.txt,
Zero-Shot Prompting,research_papers,success,43255.0,/content/drive/MyDrive/forge/knowledge_base/raw/zero_shot_prompting/research_papers.txt,
BGE Reranker,official_documentation,success,251919.0,/content/drive/MyDrive/forge/knowledge_base/raw/bge_reranker/official_documentation.txt,
BGE Reranker,github_repository,success,379688.0,/content/drive/MyDrive/forge/knowledge_base/raw/bge_reranker/github_repository.txt,
BGE Reranker,research_papers,success,41918.0,/content/drive/MyDrive/forge/knowledge_base/raw/bge_reranker/research_papers.txt,
Cohere Rerank,api_reference,success,1178298.0,/content/drive/MyDrive/forge/knowledge_base/raw/cohere_rerank/api_reference.txt,
ColBERT,official_documentation,success,377376.0,/content/drive/MyDrive/forge/knowledge_base/raw/colbert/official_documentation.txt,
ColBERT,github_repository,success,384961.0,/content/drive/MyDrive/forge/knowledge_base/raw/colbert/github_repository.txt,
ColBERT,research_papers,success,44240.0,/content/drive/MyDrive/forge/knowledge_base/raw/colbert/research_papers.txt,
Cross-Encoder,official_documentation,success,116869.0,/content/drive/MyDrive/forge/knowledge_base/raw/cross_encoder/official_documentation.txt,
Cross-Encoder,github_repository,success,385491.0,/content/drive/MyDrive/forge/knowledge_base/raw/cross_encoder/github_repository.txt,
FlashRank,official_documentation,success,374894.0,/content/drive/MyDrive/forge/knowledge_base/raw/flashrank/official_documentation.txt,
FlashRank,github_repository,success,365641.0,/content/drive/MyDrive/forge/knowledge_base/raw/flashrank/github_repository.txt,
Jina AI Reranker,official_documentation,success,289688.0,/content/drive/MyDrive/forge/knowledge_base/raw/jina_ai_reranker/official_documentation.txt,
LLM Reranking,official_documentation,success,303170.0,/content/drive/MyDrive/forge/knowledge_base/raw/llm_reranking/official_documentation.txt,
LLM Reranking,github_repository,success,411349.0,/content/drive/MyDrive/forge/knowledge_base/raw/llm_reranking/github_repository.txt,
LLM Reranking,research_papers,success,43401.0,/content/drive/MyDrive/forge/knowledge_base/raw/llm_reranking/research_papers.txt,
MonoT5,official_documentation,success,323711.0,/content/drive/MyDrive/forge/knowledge_base/raw/monot5/official_documentation.txt,
MonoT5,github_repository,success,356018.0,/content/drive/MyDrive/forge/knowledge_base/raw/monot5/github_repository.txt,
MonoT5,research_papers,success,42152.0,/content/drive/MyDrive/forge/knowledge_base/raw/monot5/research_papers.txt,
RankT5,github_repository,success,309299.0,/content/drive/MyDrive/forge/knowledge_base/raw/rankt5/github_repository.txt,
RankT5,research_papers,success,42203.0,/content/drive/MyDrive/forge/knowledge_base/raw/rankt5/research_papers.txt,
Contextual Compression Retrieval,official_documentation,success,291578.0,/content/drive/MyDrive/forge/knowledge_base/raw/contextual_compression_retrieval/official_documentation.txt,
